subject,content
dcip solicitud acceso smart comms,podriais darme acceso proyecto analytics dcip para poder crear subprotecto smart comms image001 01d29690 a17e4630 marcos suarez comunicacion kudo kudos borjamarcos marcos suarez image002 01d29690 a17e4630 marcossuarez orja marcossuarez marcossuarez separator listas separator solicitud acceso dcip podriais darme acceso proyecto analytics dcip para poder crear subprotecto smart comms image001 01d29690 a17e4630 marcos suarez comunicacion kudo kudos borjamarcos marcos suarez image002 01d29690 a17e4630 marcossuarez orja marcossuarez marcossuarez separator there queue solicitud acceso dcip creator marcossuarez action podriais darme acceso proyecto analytics dcip para poder crear subprotecto smart comms image001 01d29690 a17e4630 marcos suarez comunicacion kudo kudos borjamarcos marcos suarez image002 01d29690 a17e4630 marcossuarez orja marcossuarez marcossuarez separator solicitud acceso dcip sido pronto posible comenzara resolucion informacion para pondra contacto contigo mismo separator hecho github pdihub 219738my separator resuelto dcip solicitud acceso smart comms sido resuelto puedes servicio enlace satisfaccion agradecemos respondiendo volvera abierto separator
dcip acceso usuario,usuario puede acceder dcip login dice error autenticacion podeis comprobar permisos aguilartablada espinosa internet proxy operations8 aguilar86 separator listas separator acceso dcip usuario puede acceder dcip login dice error autenticacion podeis comprobar permisos aguilartablada espinosa internet proxy operations8 aguilar86 separator there queue acceso dcip creator operations8 action usuario puede acceder dcip login dice error autenticacion podeis comprobar permisos aguilartablada espinosa internet proxy operations8 aguilar86 separator acceso dcip sido pronto posible comenzara resolucion informacion para pondra contacto contigo mismo separator siento usuario consta nuestro ldap puedes decirme quien puede acceder usuario intranet referente usuarios debeis solicitar soporte ituser lugar sobre dcip esta integrado directorio corporativo podra funcionarle tiene usuario activo github pdihub 219713my separator resuelto dcip acceso usuario sido resuelto puedes servicio enlace satisfaccion agradecemos respondiendo volvera abierto separator
dcip fallo ejecucion timer,habido jenkins dcip ejecutado sabado queriamos obtener informacion motivo lanzado ejecutado dcip etlprovlciblock1 integracion estadisticas 20indicadores extendidos muchas alejandro listas separator fallo ejecucion dcip habido jenkins dcip ejecutado sabado queriamos obtener informacion motivo lanzado ejecutado dcip etlprovlciblock1 integracion estadisticas 20indicadores extendidos muchas alejandro listas separator there queue fallo ejecucion dcip creator arvicente tcpsi action habido jenkins dcip ejecutado sabado queriamos obtener informacion motivo lanzado ejecutado dcip etlprovlciblock1 integracion estadisticas 20indicadores extendidos muchas alejandro listas separator request acted upon queue dcip fallo ejecucion timer requestors arvicente tcpsi status open separator dcip fallo ejecucion timer sido pronto posible comenzara resolucion informacion para pondra contacto contigo mismo separator servicio jenkins fallo consumo anomalo memoria vimos obligados reinicio mismo durante intervalo entre cuando empezo haber problemas memoria horas entorno estuvo inestable hasta finalmente reinicio xavi 219684my separator servicio
openstack,smart openstack para tests componentes estamos desarrollando para plataforma para empezar ello necesitaria tenant pruebas para acceso info wiki tutorialesâ abraham separator listas separator openstack smart openstack para tests componentes estamos desarrollando para plataforma para empezar ello necesitaria tenant pruebas para acceso info wiki tutorialesâ abraham separator there queue openstack creator bramez bramez action smart openstack para tests componentes estamos desarrollando para plataforma para empezar ello necesitaria tenant pruebas para acceso info wiki tutorialesâ abraham separator request acted upon queue openstack requestors bramez bramez status separator openstack sido pronto posible comenzara resolucion informacion para pondra contacto contigo mismo separator listas separator añadido nuevos usuarios tenant tenant 389smartm2mqa nuevo usuario aia223 puedes acceder openstack openstackepg para ello credenciales ldap puedes consultar nuestra wiki tienes alguna duda wikis openstack index main page puedes estos pequeños videos para primeros pasos openstack wikis openstack index main page first steps 219581my separator creado tenant manualmente fallo dcip añadido usuario tenant venia iniciativa username username buscado ldap iniciativa sido search luego cmdb objects 219581my separator resuelto openstack sido resuelto pued
cambio nombre proyecto dcip,gustaria solicitar cambio nombre proyecto dcip retrasat satcaster adelantado diez settop middleware partnerships video technology devices diezgomez landline mobile spain global separator listas separator cambio nombre proyecto dcip gustaria solicitar cambio nombre proyecto dcip retrasat satcaster adelantado diez settop middleware partnerships video technology devices diezgomez landline mobile spain global separator there queue cambio nombre proyecto dcip creator diezgomez action gustaria solicitar cambio nombre proyecto dcip retrasat satcaster adelantado diez settop middleware partnerships video technology devices diezgomez landline mobile spain global separator cambio nombre proyecto dcip sido pronto posible comenzara resolucion informacion para pondra contacto contigo mismo separator esta cambiado nombre proyecto environments product operations investigacion desarrollo comunicacion epgmad9 saulsb12 219355my separator resuelto cambio nombre proyecto dcip sido resuelto puedes servicio enlace satisfaccion agradecemos respondiendo volvera abierto separator
dcip añadir entrada hosts container,nuestros pipelines orquestamos dcip paso realizamos pruebas end2end estas pruebas atacan maqueta openstack boecillo administra huawei cuando realizamos pruebas end2end comprobaciones dicho entorno openstack atacar componentes mediante nombres ellos establecieron porque firewall corta peticiones directamente cual añadir entrada hosts container vsnecendpoint artifactory artifactory dockertidv2 dcip vsnecendpoint entrada identity region queria consultar posteriormente hacemos cambios dockerfile define dicho container seria esta entrada modificada permanente mcuhas ngel listas separator dcip añadir entrada hosts container nuestros pipelines orquestamos dcip paso realizamos pruebas end2end estas pruebas atacan maqueta openstack boecillo administra huawei cuando realizamos pruebas end2end comprobaciones dicho entorno openstack atacar componentes mediante nombres ellos establecieron porque firewall corta peticiones directamente cual añadir entrada hosts container vsnecendpoint artifactory artifactory dockertidv2 dcip vsnecendpoint entrada identity region queria consultar posteriormente hacemos cambios dockerfile define dicho container seria esta entrada modificada permanente mcuhas ngel listas separator there queue dcip añadir entrada hosts container creator jasilva tcpsi action nuestros pipelines orquestamos dcip paso realizamos pruebas end2end estas pruebas atacan maqueta openstack boecillo administra huawei cuando realizamos pruebas end2end comprobaciones dicho entorno openstack atacar componentes mediante nombres ellos establecieron porque firewall corta peticiones directamente cual añadir entrada hosts container vsnecendpoint artifactory artifactory dockertidv2 dcip vsnecendpoint entrada identity region queria consultar posteriormente hacemos cambios dockerfile define dicho container seria esta entrada modificada permanente mcuhas ngel listas separator
rpms artifactory inaccesibles,hace hora estamos subiendo nuevas versiones yumis noarch pdiistravelfe artifactory siguen accesibles para nuestros jobs despliegue dcip algun german sanchez information systems separator listas separator rpms artifactory inaccesibles hace hora estamos subiendo nuevas versiones yumis noarch pdiistravelfe artifactory siguen accesibles para nuestros jobs despliegue dcip algun german sanchez information systems separator there queue rpms artifactory inaccesibles creator gfernandez hiiberia action hace hora estamos subiendo nuevas versiones yumis noarch pdiistravelfe artifactory siguen accesibles para nuestros jobs despliegue dcip algun german sanchez information systems separator rpms artifactory inaccesibles sido romeroconde pronto posible comenzara resolucion informacion para pondra contacto contigo mismo separator error version reciente artifactory artifactory yumis noarch pdiistravelfepro5 gd84c5f5 noarch recibe paco epgmad4 218262my separator ningun error simplemente empeña desplegar version pdiistravelfe5 g0435984 noarch ayer cuando deberia desplegar esta ultima pdiistravelfe6 g3bc7a8e noarch german romeroconde error version reciente artifactory artifactory yumis noarch pdiistravelfepro5 gd84c5f5 noarch recibe paco epgmad4 german sanchez information systems separator listas separator answer ningun
dcip publicacion reportes,consulta acerca publicacion reportes jobs dcip para generar reportes estamos usando plugin postejecucion publish reports configurado final pone dejado reporte sobre path esclavo ejecutado htmlpublisher archiving reports htmlpublisher archiving project level home contint workspace buildnight jenkins jobs jobs buildnight htmlreports report embargo finalizada ejecucion intentamos consultar dicho reporte pero encuentra porque mirar opcion reports error error problem accessing buildnight report index reason found hemos configurado dicha opcion dcip buildnight nuestra consulta acerca tenemos configurar dicho plugin para poder obtener reportes esto seria posible muchas ngel listas separator dcip publicacion reportes consulta acerca publicacion reportes jobs dcip para generar reportes estamos usando plugin postejecucion publish reports configurado final pone dejado reporte sobre path esclavo ejecutado htmlpublisher archiving reports htmlpublisher archiving project level home contint workspace buildnight jenkins jobs jobs buildnight htmlreports report embargo finalizada ejecucion intentamos consultar dicho reporte pero encuentra porque mirar opcion reports error error problem accessing buildnight report index reason found hemos configurado dicha opcion dcip buildnight nuestra consulta acerca tenemos configurar dicho plugin para poder obtener reportes esto seria posible muchas ngel listas separator there queue dcip publicacion reportes creator jasilva tcpsi action consulta acerca publicacion reportes jobs dcip para generar reportes estamos usando plugin postejecucion publish reports configurado final pone dejado reporte sobre path esclavo ejecutado htmlpublisher archiving reports htmlpublisher archiving project level home contint workspace buildnight jenkins jobs jobs buildnight htmlreports report embargo finalizada ejecucion intentamos consultar dicho reporte pero encuentra porque mirar opcion reports error error problem accessing buildnight report index reason found hemos configurado dicha opcion
slave dcip,consigo slave nijiregression tests levante para ejecutar jobs aguilartablada espinosa internet proxy operations8 aguilar86 separator listas separator slave dcip consigo slave nijiregression tests levante para ejecutar jobs aguilartablada espinosa internet proxy operations8 aguilar86 separator there queue slave dcip creator operations8 action consigo slave nijiregression tests levante para ejecutar jobs aguilartablada espinosa internet proxy operations8 aguilar86 separator slave dcip sido pronto posible comenzara resolucion informacion para pondra contacto contigo mismo separator despues varios intentos hemos conseguido solucionar esencia nueva generacion lanzo afectada cambio aplicado finales noviembre sobre imagenes minimal notifico añadido ejecucion sobre script reemplaza startup solucionado 218170my separator resuelto slave dcip sido resuelto puedes servicio enlace satisfaccion agradecemos respondiendo volvera abierto separator
configuracion github pull request builder dcip,actualmente tenemos configurado github pull request builder para ejecute cada nuevo github hooks build triggering true trigger phrase test skip build phrase skip build every pull request automatically without asking dangerous true esta configurado vuelve lanzar cuando algun desarrollador hace cambios sobre todavia cerrada queremos publicar artifactory hasta mezcle cierre alguna manera configurar lance cuando cierre hemos estado consultando wiki jenkinsci jenkins github pull request builder plugin pero aparece nada respecto serviria algo œbranch specifierâ ponemos develop lugar sha1 algo refspec definitiva queremos crear artefacto publicarlo artifactory cuando cierren agradecemos sugerencia sobre configuracion dcip para lograrlo muchas antemano pablo archilla gbic pablo rodriguezarchilla comâ platform armilla parque tecnologico salud granada spain separator listas separator configuracion github pull request builder dcip actualmente tenemos configurado github pull request builder para ejecute cada nuevo github hooks build triggering true trigger phrase test skip build phrase skip build every pull request automatically without asking dangerous true esta configurado vuelve lanzar cuando algun desarrollador hace cambios sobre todavia cerrada queremos publicar artifactory hasta mezcle cierre alguna manera configurar lance cuando cierre hemos estado consultando wiki jenkinsci jenkins github pull request builder plugin pero aparece nada respecto serviria algo œbranch specifierâ ponemos develop lugar sha1 algo refspec definitiva queremos crear artefacto publicarlo artifactory cuando cierren agradecemos sugerencia sobre configuracion dcip para lograrlo muchas antemano pablo archilla gbic pablo rodriguezarchilla comâ platform armilla parque tecnologico salud granada spain separator there queue configuracion github pull request builder dcip creator pablo rodriguezarchilla action actualmente tenemos configurado github pull request builder para ejecute cada nuevo github hooks build triggering true trigger phrase test
contenedor jenkins,generador contenedor nuestro proyecto ctpd esta fallando aparentemente tema interno jenkins copio logs enlace necesito resolver esto antes semana posible dcip ctpd dockerslavebuilder dockerfile artifactory dcip minimal install wget wget repos fedorapeople repos dchen apachemaven epelapachemaven repo repos epelapachemaven repo install apachemaven install which install java1 install pythonpip install pytest install requests contint clone github opennetworkinglab onos contint onos checkout tags contint onos clean install logs started envinject loading node environment variables building remotely dcipe6f612f84f4eproepgdcipa02 workspace home contint workspace ctpd dockerslavebuilder revparse isinsideworktree timeout fetching changes remote repository config remote origin github ctpd timeout fetching upstream changes github ctpd version timeout fetch tags progress github ctpd refs heads refs remotes origin revparse onos master commit timeout revparse refs remotes origin onos master commit timeout checking revision b81f026407c9755ceddf1d51a7493918d82c1991 refs remotes origin onos master config core sparsecheckout timeout checkout b81f026407c9755ceddf1d51a7493918d82c1991 revlist b81f026407c9755ceddf1d51a7493918d82c1991 timeout execution script modifydockertemplate groovy failed java lang nullpointerexception cannot invoke method getdockertemplatebase null objectorg jenkinsci plugins scriptler util groovyscript scriptlerexecutionexception java lang nullpointerexception cannot invoke method getdockertemplatebase null object jenkinsci plugins scriptler util groovyscript call groovyscript java hudson remoting localchannel call localchannel java jenkinsci plugins scriptler builder scriptlerbuilder perform scriptlerbuilder java hudson tasks buildstepmonitor perform buildstepmonitor java hudson model abstractbuild abstractbuildexecution perform abstractbuild java hudson model build buildexecution build build java hudson model build buildexecution dorun build java hudson model abstractbuild abstractbuildexecution abstractbuild java hudson model execute java hudson model freestylebuild freestylebuild java hudson model resourcecontroller execute resourcecontroller java hudson model executor executor java caused java lang nullpointerexception cannot invoke method getdockertemplatebase null object codehaus groovy runtime nullobject invokemethod nullobject java codehaus groovy runtime callsite pogometaclasssite call pogometaclasssite java codehaus groovy runtime callsite callsitearray defaultcall callsitearray java codehaus groovy runtime callsite nullcallsite call nullcallsite java codehaus groovy runtime callsite callsitearray defaultcall callsitearray java codehaus groovy runtime callsite pogometaclasssite call pogometaclasssite java codehaus groovy runtime callsite abstractcallsite call abstractcallsite java script1 script1 groovy
dcip cargar ramas jobs parametrizados,durante todo ayer hemos tenido problemas para mostrase ramas tags jobs parametrizados dcip pdbank pdbservices pdbsrvcsproddeploydsn dcip pdbank pdboss pdbossdeployproddsn8182 mismo vuelto funcionar pero pudieseis echarle vistazo pasado seria genial porque soluciones automagicasâ gustan muchas marivi marivi pelaez platform torre diagonal plaÃ barcelona mariavictoria pelaezalonso separator listas separator cargar ramas jobs parametrizados durante todo ayer hemos tenido problemas para mostrase ramas tags jobs parametrizados dcip pdbank pdbservices pdbsrvcsproddeploydsn dcip pdbank pdboss pdbossdeployproddsn8182 mismo vuelto funcionar pero pudieseis echarle vistazo pasado seria genial porque soluciones automagicasâ gustan muchas marivi marivi pelaez platform torre diagonal plaÃ barcelona mariavictoria pelaezalonso separator there queue cargar ramas jobs parametrizados creator mariavictoria pelaezalonso action durante todo ayer hemos tenido problemas para mostrase ramas tags jobs parametrizados dcip pdbank pdbservices pdbsrvcsproddeploydsn dcip pdbank pdboss pdbossdeployproddsn8182 mismo vuelto funcionar pero pudieseis echarle vistazo pasado seria genial porque soluciones automagicasâ gustan muchas marivi marivi pelaez platform torre diagonal plaÃ barcelona mariavictoria pelaezalonso separator cargar ramas jobs parametrizados sido pronto posible comenzara resolucion informacion para pondra contacto contigo mismo separator dcip cargar ramas jobs parametrizados sido pronto posible comenzara resolucion informacion para pondra contacto contigo mismo separator
network cambiar esclavo vlan,estamos migrando jenkins master dcip para evitar añadiendo excepciones acceso desarrollo propongo cambiar vlan actual esclavo dcip existe regla generica hacia vlan120 deberia cambiar maquina hace esta funcion vlan quereis puede asignar fija para haya problemas reglas firewall firma separator network cambiar esclavo vlan network estamos migrando jenkins master dcip para evitar añadiendo excepciones acceso desarrollo propongo cambiar vlan actual esclavo dcip existe regla generica hacia vlan120 deberia cambiar maquina hace esta funcion vlan quereis puede asignar fija para haya problemas reglas firewall firma separator xavi cuando quieras mañana hacemos fabrice sarot telefÃ nica investigaciÃ desarrollo network team torre telefonicadiagonal plaza barcelona fabrice 217748my separator request acted upon magb fms301 queue network network cambiar esclavo vlan magb requestors epgbcn2 status open separator separator
consigo fetch ansible dcip deinfsys1mad,comando echo deinfsys1mad ansible root hosts ansible vvvv hosts fetch neotool conf test properties dest test resources error deinfsys1mad exec controlmaster auto controlpersist stricthostkeychecking kbdinteractiveauthentication preferredauthentications gssapiwithmic gssapikeyex hostbased publickey passwordauthentication root connecttimeout controlpath home contint ansible ansiblessh deinfsys1mad umask mkdir echo ansible ansibletmp1486481903 echo ansibletmp1486481903 echo ansible ansibletmp1486481903 sleep deinfsys1mad success changed false file neotool conf test properties invocation module args dest test resources neotool conf test properties module fetch unable calculate checksum remote file comprobado espacio creado ansible parece donde intenta escribir pero falla todas formas teneis detalles dcip view bibackend01build consolefull german sanchez information systems separator listas separator consigo fetch ansible dcip deinfsys1mad comando echo deinfsys1mad ansible root hosts ansible vvvv hosts fetch neotool conf test properties dest test resources error deinfsys1mad exec controlmaster auto controlpersist stricthostkeychecking kbdinteractiveauthentication preferredauthentications gssapiwithmic gssapikeyex hostbased publickey passwordauthentication root connecttimeout controlpath home contint ansible ansiblessh deinfsys1mad umask mkdir echo ansible ansibletmp1486481903 echo ansibletmp1486481903 echo ansible ansibletmp1486481903 sleep deinfsys1mad success changed false file neotool conf test properties invocation module args dest test resources neotool conf test properties module fetch unable calculate checksum remote file comprobado espacio creado ansible parece donde intenta escribir pero falla todas formas teneis detalles dcip view bibackend01build consolefull german sanchez information systems separator there queue consigo fetch ansible dcip deinfsys1mad creator gfernandez hiiberia action
usuario proyecto equipovado,comenta persona nagra tiene acceso jira proyecto distributed continous integration platform cuando debiera supongo sera error alguno administradores proyecto pero quien quien puede ayudame esto usuario raul cerrudo agus agustin martinez service development pmpÂ gcto global video unit mobile phone joseagustin martinezgarcia joseagustin martinezgarcia separator listas separator usuario proyecto equipovado comenta persona nagra tiene acceso jira proyecto distributed continous integration platform cuando debiera supongo sera error alguno administradores proyecto pero quien quien puede ayudame esto usuario raul cerrudo agus agustin martinez service development pmpÂ gcto global video unit mobile phone joseagustin martinezgarcia joseagustin martinezgarcia separator there queue usuario proyecto equipovado creator joseagustin martinezgarcia action comenta persona nagra tiene acceso jira proyecto distributed continous integration platform cuando debiera supongo sera error alguno administradores proyecto pero quien quien puede ayudame esto usuario raul cerrudo agus agustin martinez service development pmpÂ gcto global video unit mobile phone joseagustin martinezgarcia joseagustin martinezgarcia separator usuario proyecto equipovado sido pronto posible comenzara resolucion informacion para pondra contacto contigo mismo separator esto normal proyecto dcip pueden verlo todos usuarios para poder crear issues necesiten cambio tengan algun herramienta joseagustin martinezgarcia comenta persona nagra tiene acceso jira proyecto distributed continous integration platform cuando debiera supongo sera error alguno administradores proyecto pero quien quien puede ayudame esto usuario raul cerrudo agus agustin martinez service development pmpÂ gcto global video unit mobile phone
pdihub disparan hooks pull request,estan saltando hooks pull request pdihub capturo trafico nuestro jenkins trafico procedente pdihub hemos cambiado nada nuestro jenkins cambiado algo pdihub carlos separator listas separator disparan hooks pull request pdihub estan saltando hooks pull request pdihub capturo trafico nuestro jenkins trafico procedente pdihub hemos cambiado nada nuestro jenkins cambiado algo pdihub carlos separator there queue disparan hooks pull request pdihub creator carlosenrique gomezgomez action estan saltando hooks pull request pdihub capturo trafico nuestro jenkins trafico procedente pdihub hemos cambiado nada nuestro jenkins cambiado algo pdihub carlos separator disparan hooks pull request pdihub sido pronto posible comenzara resolucion informacion para pondra contacto contigo mismo separator carlos ayer modifico certificado probablemente necesitaras instalar nuevo cacerts java xavi 217621my separator confirmada sido causa seguridad hemos revisado dcip visto afectado cambio 217621my separator resuelto pdihub disparan hooks pull request sido resuelto puedes servicio enlace satisfaccion agradecemos respondiendo volvera abierto separator
configuracion dcip knonw hosts,hace unos cambiamos maquina integracion demopdbweb01 consecuencia cambio pero nombre debido esto tenemos algunos esclavos jenkins pueden acceder maquina porque tenian nombre asociado otra known hosts podriais echarnos mano borrar entrada known hosts solucion cool haya fallado esclavo dcipf77edb2e609eproepgdcipa04 ayuda encontrarlo muchas marivi marivi pelaez platform torre diagonal plaÃ barcelona mariavictoria pelaezalonso separator listas separator configuracion dcip knonw hosts hace unos cambiamos maquina integracion demopdbweb01 consecuencia cambio pero nombre debido esto tenemos algunos esclavos jenkins pueden acceder maquina porque tenian nombre asociado otra known hosts podriais echarnos mano borrar entrada known hosts solucion cool haya fallado esclavo dcipf77edb2e609eproepgdcipa04 ayuda encontrarlo muchas marivi marivi pelaez platform torre diagonal plaÃ barcelona mariavictoria pelaezalonso separator there queue configuracion dcip knonw hosts creator mariavictoria pelaezalonso action hace unos cambiamos maquina integracion demopdbweb01 consecuencia cambio pero nombre debido esto tenemos algunos esclavos jenkins pueden acceder maquina porque tenian nombre asociado otra known hosts podriais echarnos mano borrar entrada known hosts solucion cool haya fallado esclavo dcipf77edb2e609eproepgdcipa04 ayuda encontrarlo muchas marivi marivi pelaez platform torre diagonal plaÃ barcelona mariavictoria pelaezalonso separator configuracion dcip knonw hosts sido pronto posible comenzara resolucion informacion para pondra contacto contigo mismo separator revisando tarea dcip pdbank pdboss pdbossdeployintegdemopdbweb018182 console parece
problemas artifactory,tiempo esta parte estamos teniendo problemas tiempo espera necesario para jobs build almacenan artifactory esten disponlibles para jobs despliegue dcip hemos aumentado tiempo espera jobs despliegue minutos pero suficiente muchos casos sabeis puede pasando german sanchez information systems separator listas separator problemas artifactory tiempo esta parte estamos teniendo problemas tiempo espera necesario para jobs build almacenan artifactory esten disponlibles para jobs despliegue dcip hemos aumentado tiempo espera jobs despliegue minutos pero suficiente muchos casos sabeis puede pasando german sanchez information systems separator there queue problemas artifactory creator gfernandez hiiberia action tiempo esta parte estamos teniendo problemas tiempo espera necesario para jobs build almacenan artifactory esten disponlibles para jobs despliegue dcip hemos aumentado tiempo espera jobs despliegue minutos pero suficiente muchos casos sabeis puede pasando german sanchez information systems separator problemas artifactory sido pronto posible comenzara resolucion informacion para pondra contacto contigo mismo separator german revisaremos puede pasando generacion metadatos nuestra parte hemos detectado nada extraño monitorizacion tenemos respecto esta funcionando correctamente pasame repositorios tienes esos problemas reviso xavi 217323my separator gordo estamos teniendo artifactory artifactory webapp artifacts browse tree general yumis noarch pdiistravelbe5 gc895cbc noarch generado hace hora pero deploy empeña desplegar anterior dcip view travel travelbackend02deploy lastbuild console german febrero german revisaremos puede pasando generacion metadatos nuestra parte hemos detectado nada extraño monitorizacion tenemos respecto esta funcionando
imagen alpine para dcip,xavi hecho pull request para incorporar imagen base dcip basada alpine pdihub dcip dcipslaveminimal pull probado esclavo dcip funcionado bien sabido probarlo imagen jenkins tener dedicarle excesivo tiempo puedes revisar mergearla empezaremos generar nuestras imagenes docker partir esta imagen base muchas separator listas separator imagen alpine para dcip xavi hecho pull request para incorporar imagen base dcip basada alpine pdihub dcip dcipslaveminimal pull probado esclavo dcip funcionado bien sabido probarlo imagen jenkins tener dedicarle excesivo tiempo puedes revisar mergearla empezaremos generar nuestras imagenes docker partir esta imagen base muchas separator there queue imagen alpine para dcip creator lorenzogallardo action xavi hecho pull request para incorporar imagen base dcip basada alpine pdihub dcip dcipslaveminimal pull probado esclavo dcip funcionado bien sabido probarlo imagen jenkins tener dedicarle excesivo tiempo puedes revisar mergearla empezaremos generar nuestras imagenes docker partir esta imagen base muchas separator imagen alpine para dcip sido pronto posible comenzara resolucion informacion para pondra contacto contigo mismo separator dicho esta aceptada imagen incluida generacion minimal puedes usarla poniendo dcip minimal alpine3 xavi 217208my separator resuelto imagen alpine para dcip sido resuelto puedes servicio enlace satisfaccion agradecemos respondiendo volvera abierto separator
dcip requisitos para contenedor dcip base,nuestro proyecto vamos desarrollar docker para desarrollo tenga todas utilidades necesarias para nuestro proyecto node ansible docker parta mismo docker utilizaremos produccion alpine gustaria docker sirva tanto entorno desarrollo para dcip tradicionalmente hemos utilizado imagenes proporcionadas dcip pdihub dcip dcipslaveminimal para esta nueva imagen gustaria saber cuales requisitos realmente necesarios para contenedor pueda integrar dcip muchas separator listas separator requisitos para implementar contenedor dcip base nuestro proyecto vamos desarrollar docker para desarrollo tenga todas utilidades necesarias para nuestro proyecto node ansible docker parta mismo docker utilizaremos produccion alpine gustaria docker sirva tanto entorno desarrollo para dcip tradicionalmente hemos utilizado imagenes proporcionadas dcip pdihub dcip dcipslaveminimal para esta nueva imagen gustaria saber cuales requisitos realmente necesarios para contenedor pueda integrar dcip muchas separator there queue requisitos para implementar contenedor dcip base creator lorenzogallardo action nuestro proyecto vamos desarrollar docker para desarrollo tenga todas utilidades necesarias para nuestro proyecto node ansible docker parta mismo docker utilizaremos produccion alpine gustaria docker sirva tanto entorno desarrollo para dcip tradicionalmente hemos utilizado imagenes proporcionadas dcip pdihub dcip dcipslaveminimal para esta nueva imagen gustaria saber cuales requisitos realmente necesarios para contenedor pueda integrar dcip muchas separator requisitos para implementar contenedor dcip base sido pronto posible comenzara resolucion informacion para pondra contacto contigo mismo separator marco resuelto tras creacion docker alpine muchas github pdihub 217096my separator resuelto dcip requisitos para contenedor dcip base sido resuelto puedes servicio enlace satisfaccion agradecemos
puede entregar analytics acquisition release spark build successful,podido realizar entrega estos destinatarios grupos franciscoildefonso dominguezlosada franciscoildefonso dominguezlosada encontro direccion especificada compruebe direccion intente enviar nuevo continua pongase contacto departamento soporte tecnico informacion diagnostico para administradores generando servidor estgvmsp104 europe corp franciscoildefonso dominguezlosada resolver recipnotfound found encabezados mensajes originales received vanvan smtp europe with microsoft smtp server received sbrightmailg02 sbrightmailg02 iplanet messaging server hotfix built with esmtp 0okm00n4cz414w received sbrightmailg02 symantec messaging gateway with smtp e4f40985 received prodepgdcipm01 mailhost iplanet messaging server hotfix built with esmtp 0okm00k4sz4dp1 date utf8 analytics acquisition 5frelease utf8 spark build successful fjem franciscoildefonso dominguezlosada miguelangel santosdepablo susana ferreras patricia calvo alten carlos cuezvatordable messageid javamail jenkins prodepgdcipm01 mimeversion contenttype multipart mixed boundary part xauditid 0a5f4e69b19ff70000000ce98858904f4e8f4b xjenkinsjob acquisition release spark xjenkinsresult success xbrightmailtracker h4siaaaaaaaaa ngfprglmwrmveswpsxmkpexsxcfe apevnpyhcoh2vsmxzy5tzlkasmmvs 0fqwyml6kx2sfrn2rwn3ypxo m0cwbjfzzosmpnzllqkb5falxhl4xl2gjdmfxs rwzpydzo 1mxiysehyckx8f5j9i5glg4hgq2mem 6hka5hxglzp78wnlfymhbiqat8fulgkgdm4caxmlv 3wwgtrbarstwduvyqwwrgcumer ueodyvak erf3bwkesaulfky bzagwsbaykzvdcredynv zq9isestft2eawmgzc0nhliqocfndyv08izakzqbzli18zbyakwuvo1hxulfmekzjbmjm trqbkv5gpl5mxmrjjkzwapll7mbcvlplekmab6msd29dr3 eegtiwxfl7ifgcq5mjrhefl8j euk8kymvvalf fffptmpxycyptlylmr5p78xixasse8ssc1ots1ilyljmnfwsjuwin9ankkb xlim7ixki8cfctn8otxycz4f3vyuf3yq0x7 mvf8nrvbfp8un49zixq cpvs8v9la1zzxn8d iyo8jil7a5lvikkzv4b9vtjbyap8zothuwsmfwz9nm u1gdzso 60rcho37x ouqwpu748it bmnlt30ss0qhwmahuxwxz03s7aknsizfgymgwsxfxykajvbm4ckcaaa returnpath separator analytics acquisition release spark build successful check console output dcip analytics acquisition release spark view results separator listas separator puede entregar analytics acquisition release spark build successful podido realizar entrega estos destinatarios grupos franciscoildefonso dominguezlosada franciscoildefonso dominguezlosada tele
